ID	name	author	levelUnlock	priceRuby	priceCoin	Song Loop	isLocal	VersionMid	VersionMp3	Midi	Mp3File	Mp3File2	isCrypto	speedBegin	speedIncreaseAfterOneLoop	isTraditionalFile	SongTrackClip	SongTrackSpeed	beginDistanceBySecond	AddStartDistance	typeSong	Category
730	Sweet home		3	0	0	1	0	5	2	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/sweethome.mid	https://https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/sweethome.mp3		1	1	0.25	1	0;40.0;80.0	1;1.0204081633;1.0416666667	1900	1000	NORMAL	2
729	Fairy Tale		3	0	0	1	0	5	2	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/fairy_notes.mid	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/fairytale.mp3		1	1	0.25	1	0;40.0;80.0	1;1.0204081633;1.0416666667	1900	1000	NORMAL	2
119	Blooming		3	0	0	1	0	5	2	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/blooming_notes.mid	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/blooming.mp3		1	1	0.25	1	0;40.0;80.0	1;1.0204081633;1.0416666667	1900	1000	NORMAL	2
35	BeauCine		1	0	0	1	0	6	0	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/BeauCine_notes.mp3	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/BeauCine_original.mp3		1	1	0.25	1	0;35.0;70	1;1.05263158;1.111111111111	1650	1000	HOT	1
1	BeauSorrow		1	0	0	1	0	5	1	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/BeauSorrow_notes.mid	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/BeauSorrow_original.mp3		1	1	0.25	1	0;45.0;90	1;1.05263158;1.111111111111	1400	1000	HOT	1
115	Morning Walk		3	0	0	1	0	5	2	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/Morning%20Walk_notes.mid	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/Morning%20Walk_original.mp3		1	1	0.25	1	0;40.0;80.0	1;1.0204081633;1.0416666667	1900	1000	NORMAL	2
116	Old Deep Soul		3	0	0	1	0	5	2	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/Old%20Deep%20Soul_notes.mid	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/Old%20Deep%20Soul_original.mp3		1	1	0.25	1	0;40.0;80.0	1;1.0204081633;1.0416666667	1900	1000	NORMAL	2
117	Emisadio		3	0	0	1	0	5	2	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/Emisadio_notes.mid	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/Emisadio_original.mp3		1	1	0.25	1	0;40.0;80.0	1;1.0204081633;1.0416666667	1900	1000	NORMAL	2
118	Inspirano		3	0	0	1	0	5	2	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/Inspirano_notes.mid	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/Inspirano_original.mp3		1	1	0.25	1	0;40.0;80.0	1;1.0204081633;1.0416666667	1900	1000	NORMAL	2
112	Romantic 3	Smart Sounds	-1	10	0	1	0	0	0	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/112_Romantic3_SmartSounds.mid	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/112_Romantic3_SmartSounds.mp3		1	1	0.25	1	0;43.4;69.5	1;1.0204081633;1.0416666667	1140	1000	NORMAL	1
13	The Beautiful Danube	Johann Strauss II	-1	10	0	1	0	5	0	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/13_WaltzTheBeautifulBlueDanube_Ieto.mid	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/13_WaltzTheBeautifulBlueDanube_Ieto.mp3		1	1	0.25	1	0;35.0;70.0	1;1.0204081633;1.0416666667	1400	1000	NORMAL	2
29	Christmas Ukulele		-1	50	0	1	0	0	0	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/29_ChristmasUkulele_MetronomeProduction.mid	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/29_ChristmasUkulele_MetronomeProduction.mp3		1	1	0.25	1	0;30.0;60	1;1.0204081633;1.0416666667	1500	1000	NEW	2
53	Time To Grow		4	0	0	1	0	5	0	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/53_Timetogrow.mid	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/53_Timetogrow.mp3		1	1	0.25	1	0;40.0;80	1;1.0204081633;1.0416666667	1400	1000	NORMAL	1
64	Rain Of Sakura		5	0	0	1	0	1	0	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/64_RainOfSakura.mid	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/.gitignore/64_RainOfSakura.mid		0	1	0.25	1	0;40.0;80.0	1;1.0204081633;1.0416666667	1800	1000	NORMAL	2
